"processid","processname","type","objectname"
﻿"592","winlogon.exe","Directory","\KnownDlls"
﻿"592","winlogon.exe","File","C:\Windows\System32"
﻿"592","winlogon.exe","Directory","\Sessions\1\BaseNamedObjects"
﻿"592","winlogon.exe","Mutant","\Sessions\1\BaseNamedObjects\SM0:592:304:WilStaging_02"
﻿"592","winlogon.exe","Semaphore","\Sessions\1\BaseNamedObjects\SM0:592:304:WilStaging_02_p0"
﻿"592","winlogon.exe","Semaphore","\Sessions\1\BaseNamedObjects\SM0:592:304:WilStaging_02_p0h"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Nls\Sorting\Versions"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Ole"
﻿"592","winlogon.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Classes\Local Settings\Software\Microsoft"
﻿"592","winlogon.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Classes\Local Settings"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Session Manager"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Classes"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options"
﻿"592","winlogon.exe","Event","\BaseNamedObjects\WinlogonLogoff"
﻿"592","winlogon.exe","ALPC Port","\RPC Control\WMsgKRpc091BF1"
﻿"592","winlogon.exe","Desktop","\Disconnect"
﻿"592","winlogon.exe","Event","\BaseNamedObjects\TermSrvReadyEvent"
﻿"592","winlogon.exe","File","\Device\KsecDD"
﻿"592","winlogon.exe","WindowStation","\Sessions\1\Windows\WindowStations\WinSta0"
﻿"592","winlogon.exe","Desktop","\Winlogon"
﻿"592","winlogon.exe","File","C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePackzh-TW_19041.64.213.0_neutral__8wekyb3d8bbwe\Windows\System32\zh-TW\user32.dll.mui"
﻿"592","winlogon.exe","WindowStation","\Sessions\1\Windows\WindowStations\WinSta0"
﻿"592","winlogon.exe","Key","\REGISTRY\USER\.DEFAULT\Control Panel\International"
﻿"592","winlogon.exe","Desktop","\Default"
﻿"592","winlogon.exe","Event","\BaseNamedObjects\BootShellComplete"
﻿"592","winlogon.exe","File","\Device\KsecDD"
﻿"592","winlogon.exe","Key","\REGISTRY\USER"
﻿"592","winlogon.exe","File","\Device\CNG"
﻿"592","winlogon.exe","Semaphore","\Sessions\1\BaseNamedObjects\SM0:592:120:WilError_03_p0h"
﻿"592","winlogon.exe","File","\Device\Nsi"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\Tcpip6\Parameters\Interfaces"
﻿"592","winlogon.exe","Semaphore","\Sessions\1\BaseNamedObjects\SM0:592:120:WilError_03_p0"
﻿"592","winlogon.exe","Mutant","\Sessions\1\BaseNamedObjects\SM0:592:120:WilError_03"
﻿"592","winlogon.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Microsoft\Windows NT\CurrentVersion"
﻿"592","winlogon.exe","Section","\Windows\Theme3388993303"
﻿"592","winlogon.exe","Section","\Sessions\1\Windows\Theme3081467905"
﻿"592","winlogon.exe","Section","\Sessions\1\Windows\ThemeSection"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Winlogon\Notifications\Components\GPClient"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Nls\Sorting\Ids"
﻿"592","winlogon.exe","File","C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePackzh-TW_19041.64.213.0_neutral__8wekyb3d8bbwe\Windows\System32\zh-TW\winlogon.exe.mui"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Winlogon\Notifications\Components\Profiles"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Winlogon\Notifications\Components\Sens"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Winlogon\Notifications\Components\SessionEnv"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Winlogon\Notifications\Components\TermSrv"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Winlogon\Notifications\Components\TrustedInstaller"
﻿"592","winlogon.exe","Event","\Sessions\1\BaseNamedObjects\ThemesStartEvent"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\crypt32"
﻿"592","winlogon.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Nls\CodePage"
﻿"672","lsass.exe","Semaphore","\BaseNamedObjects\SM0:672:304:WilStaging_02_p0"
﻿"672","lsass.exe","Directory","\BaseNamedObjects"
﻿"672","lsass.exe","Directory","\KnownDlls"
﻿"672","lsass.exe","File","C:\Windows\System32"
﻿"672","lsass.exe","Mutant","\BaseNamedObjects\SM0:672:304:WilStaging_02"
﻿"672","lsass.exe","Semaphore","\BaseNamedObjects\SM0:672:304:WilStaging_02_p0h"
﻿"672","lsass.exe","ALPC Port","\SeLsaCommandPort"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Session Manager"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Nls\Sorting\Versions"
﻿"672","lsass.exe","File","\Device\KsecDD"
﻿"672","lsass.exe","Section","\LsaPerformance"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System"
﻿"672","lsass.exe","File","C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePackzh-TW_19041.64.213.0_neutral__8wekyb3d8bbwe\Windows\System32\zh-TW\lsasrv.dll.mui"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SECURITY"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SECURITY\RXACT"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SECURITY\Policy"
﻿"672","lsass.exe","File","\Device\CNG"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\Audit"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\Audit"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\CentralizedAccessPolicies"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\CentralizedAccessPolicies\CAPs"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\CentralizedAccessPolicies\CAPEs"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT\Control Panel\International"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Nls\Sorting\Ids"
﻿"672","lsass.exe","File","\Device\KsecDD"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\Kerberos\Parameters"
﻿"672","lsass.exe","Event","\DSYSDBG.Debug.Trace.Memory.2a0"
﻿"672","lsass.exe","Section","\BaseNamedObjects\Debug.Trace.Memory.2a0"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\Kerberos\Parameters"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\Kerberos\HostToRealm"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\Kerberos\Domains"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\WinSock2\Parameters\Protocol_Catalog9"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\WinSock2\Parameters\NameSpace_Catalog5"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\MSV1_0"
﻿"672","lsass.exe","File","C:\Windows\debug\PASSWD.LOG"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SECURITY\Cache"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options"
﻿"672","lsass.exe","File","\Device\Nsi"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\Tcpip\Parameters\Interfaces"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\Tcpip6\Parameters\Interfaces"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\Credssp"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\Credssp"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Ole"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Classes\Local Settings\Software\Microsoft"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Classes\Local Settings"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Services\crypt32"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Nls\CodePage"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\IdentityStore\LogonCache\B16898C6-A148-4967-9171-64D755DA8520"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\IdentityStore\Providers"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\IdentityStore\LogonCache\D7F9888F-E3FC-49b0-9EA6-A85B5F392A4F"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\SecurityProviders\WDigest"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\SecurityProviders\WDigest"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\SecurityProviders\SCHANNEL"
﻿"672","lsass.exe","File","\Device\NamedPipe\lsass"
﻿"672","lsass.exe","File","\Device\NamedPipe\lsass"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\AuthRoot"
﻿"672","lsass.exe","ALPC Port","\RPC Control\audit"
﻿"672","lsass.exe","ALPC Port","\RPC Control\securityevent"
﻿"672","lsass.exe","ALPC Port","\RPC Control\LSARPC_ENDPOINT"
﻿"672","lsass.exe","ALPC Port","\RPC Control\lsacap"
﻿"672","lsass.exe","ALPC Port","\RPC Control\LSA_IDPEXT_ENDPOINT"
﻿"672","lsass.exe","ALPC Port","\RPC Control\LSA_EAS_ENDPOINT"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\IdentityStore\Cache"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20\SOFTWARE\Microsoft\SystemCertificates\trust"
﻿"672","lsass.exe","ALPC Port","\RPC Control\lsapolicylookup"
﻿"672","lsass.exe","ALPC Port","\RPC Control\lsasspirpc"
﻿"672","lsass.exe","File","\Device\KsecDD"
﻿"672","lsass.exe","File","\Device\KsecDD"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa"
﻿"672","lsass.exe","Event","\BaseNamedObjects\LSA_RPC_SERVER_ACTIVE"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Cryptography\Protect\Providers\df9d8cd0-1501-11d1-8c7a-00c04fc297eb"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20"
﻿"672","lsass.exe","ALPC Port","\RPC Control\protected_storage"
﻿"672","lsass.exe","ALPC Port","\RPC Control\SidKey Local End Point"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\Audit\PerUserAuditing\System"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\Audit\AuditPolicy"
﻿"672","lsass.exe","File","\Device\NamedPipe\Winsock2\CatalogChangeListener-2a0-0"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\ComponentUpdates"
﻿"672","lsass.exe","Event","\BaseNamedObjects\LSA_RPC_SERVER_ACTIVE"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SAM\SAM"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SAM\SAM\RXACT"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SAM\SAM\Domains\Builtin"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SAM\SAM\Domains\Account"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\SAM\ComponentUpdates\Account"
﻿"672","lsass.exe","ALPC Port","\RPC Control\samss lpc"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\SAM"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows\CurrentVersion\DeviceAccess"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\SAM\ComponentUpdates\BuiltIn"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\SAM\ComponentUpdates"
﻿"672","lsass.exe","Event","\SAM_SERVICE_STARTED"
﻿"672","lsass.exe","Event","\BaseNamedObjects\LSA_SUBSYSTEM_INITIALIZED"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\SmartCardRoot"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20\SOFTWARE\Microsoft\SystemCertificates\TrustedPeople"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa\ComponentUpdates\SecurityInstallationProvider"
﻿"672","lsass.exe","File","\Device\Afd"
﻿"672","lsass.exe","File","\Device\Afd"
﻿"672","lsass.exe","File","\Device\Afd"
﻿"672","lsass.exe","File","\Device\Afd"
﻿"672","lsass.exe","Event","\BaseNamedObjects\TermSrvReadyEvent"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\CA"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\TrustedPeople"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20\SOFTWARE\Microsoft\SystemCertificates\Root"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\TrustedPeople"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\AuthRoot"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\CA"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\Root"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\ROOT"
﻿"672","lsass.exe","Key","\REGISTRY\USER"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CertDllCreateCertificateChainEngine\Config"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\CA"
﻿"672","lsass.exe","File","C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePackzh-TW_19041.64.213.0_neutral__8wekyb3d8bbwe\Windows\System32\zh-TW\crypt32.dll.mui"
﻿"672","lsass.exe","Semaphore","\BaseNamedObjects\SM0:672:120:WilError_03_p0h"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20\SOFTWARE\Policies\Microsoft\SystemCertificates"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\Root"
﻿"672","lsass.exe","Semaphore","\BaseNamedObjects\SM0:672:120:WilError_03_p0"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20\SOFTWARE\Microsoft\SystemCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\SecurityProviders\SCHANNEL"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Policies\Microsoft\Cryptography\Configuration\SSL\00010002"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Cryptography\Configuration\Local\SSL\00010002"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\MY"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Policies\Microsoft\SystemCertificates"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\Trust"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\trust"
﻿"672","lsass.exe","File","\Device\VmGenerationCounter"
﻿"672","lsass.exe","File","\Device\VmGenerationCounter"
﻿"672","lsass.exe","File","\Device\NamedPipe\lsass"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\ROOT"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CertDllCreateCertificateChainEngine\Config"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20\SOFTWARE\Microsoft\SystemCertificates\SmartCardRoot"
﻿"672","lsass.exe","Mutant","\BaseNamedObjects\SM0:672:120:WilError_03"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CertDllCreateCertificateChainEngine\Config"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\AuthRoot\AutoUpdate"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20\SOFTWARE\Microsoft\SystemCertificates\CA"
﻿"672","lsass.exe","File","C:\Program Files\WindowsApps\Microsoft.LanguageExperiencePackzh-TW_19041.64.213.0_neutral__8wekyb3d8bbwe\Windows\System32\zh-TW\vaultsvc.dll.mui"
﻿"672","lsass.exe","File","\Device\DeviceApi"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20\SOFTWARE\Policies\Microsoft\SystemCertificates"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\CA"
﻿"672","lsass.exe","ALPC Port","\RPC Control\Vault"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20\SOFTWARE\Policies\Microsoft\SystemCertificates"
﻿"672","lsass.exe","Key","\REGISTRY\USER\S-1-5-20\SOFTWARE\Policies\Microsoft\SystemCertificates"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\CA"
﻿"672","lsass.exe","File","C:\Users\test\AppData\Local\Microsoft\Credentials"
﻿"672","lsass.exe","File","C:\Users\test\AppData\Roaming\Microsoft\Credentials"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\CA"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\CA"
﻿"672","lsass.exe","File","\Device\NamedPipe\lsass"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\CA"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\IdentityStore\Providers"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CertDllCreateCertificateChainEngine\Config"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\Windows Live ID Token Issuer"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\CA"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Microsoft\SystemCertificates\CA"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CertDllCreateCertificateChainEngine\Config"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\Homegroup Machine Certificates"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\CA"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\CA"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CertDllCreateCertificateChainEngine\Config"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Microsoft\SystemCertificates\CA"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Microsoft\SystemCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Cryptography\OID\EncodingType 0\CertDllCreateCertificateChainEngine\Config"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Microsoft\SystemCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Lsa"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Microsoft\SystemCertificates\CA"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\CA"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\MY"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Microsoft\SystemCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Microsoft\SystemCertificates\CA"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\SystemCertificates\AAD Token Issuer"
﻿"672","lsass.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\EnterpriseCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Microsoft\SystemCertificates\Disallowed"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT\Software\Policies\Microsoft\SystemCertificates"
﻿"672","lsass.exe","Key","\REGISTRY\USER\.DEFAULT"
﻿"760","fontdrvhost.exe","Directory","\KnownDlls"
﻿"760","fontdrvhost.exe","File","C:\Windows\System32"
﻿"760","fontdrvhost.exe","Mutant","\Sessions\1\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523\SM0:760:304:WilStaging_02"
﻿"760","fontdrvhost.exe","Semaphore","\Sessions\1\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523\SM0:760:304:WilStaging_02_p0"
﻿"760","fontdrvhost.exe","Directory","\Sessions\1\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523"
﻿"760","fontdrvhost.exe","Semaphore","\Sessions\1\AppContainerNamedObjects\S-1-15-2-95739096-486727260-2033287795-3853587803-1685597119-444378811-2746676523\SM0:760:304:WilStaging_02_p0h"
﻿"760","fontdrvhost.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Nls\Sorting\Versions"
﻿"808","svchost.exe","Key","\REGISTRY\MACHINE\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Image File Execution Options"
﻿"808","svchost.exe","Directory","\KnownDlls"
﻿"808","svchost.exe","File","C:\Windows\System32"
﻿"808","svchost.exe","Mutant","\BaseNamedObjects\SM0:808:304:WilStaging_02"
﻿"808","svchost.exe","Directory","\BaseNamedObjects"
﻿"808","svchost.exe","Semaphore","\BaseNamedObjects\SM0:808:304:WilStaging_02_p0"
﻿"808","svchost.exe","Semaphore","\BaseNamedObjects\SM0:808:304:WilStaging_02_p0h"
﻿"808","svchost.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Nls\Sorting\Versions"
﻿"808","svchost.exe","Key","\REGISTRY\MACHINE\SYSTEM\ControlSet001\Control\Session Manager"
