"id","url","title","visit_time","visit_count","last_visit_time"
ï»¿"1","https://go.microsoft.com/fwlink/?linkid=839897","¦b±zªº¹q¸£¤W±Ò¥Î»·ºÝ®à­± | Microsoft Learn","1688104092","1","1688104092"
ï»¿"2","https://learn.microsoft.com/windows-server/remote/remote-desktop-services/clients/remote-desktop-allow-access","¦b±zªº¹q¸£¤W±Ò¥Î»·ºÝ®à­± | Microsoft Learn","1688104092","1","1688104092"
ï»¿"3","https://learn.microsoft.com/zh-tw/windows-server/remote/remote-desktop-services/clients/remote-desktop-allow-access","¦b±zªº¹q¸£¤W±Ò¥Î»·ºÝ®à­± | Microsoft Learn","1688104092","2","1688104092"
ï»¿"4","https://learn.microsoft.com/zh-tw/windows-server/remote/remote-desktop-services/clients/remote-desktop-allow-access","¦b±zªº¹q¸£¤W±Ò¥Î»·ºÝ®à­± | Microsoft Learn","1688104092","2","1688104092"
ï»¿"5","https://go.microsoft.com/fwlink/?linkid=2132465&form=MT004A&OCID=MT004A","Åwªï¨Ï¥Î Microsoft Edge","1688104101","2","1688104101"
ï»¿"6","https://www.microsoft.com/edge/welcome","Åwªï¨Ï¥Î Microsoft Edge","1688104101","2","1688104101"
ï»¿"7","https://go.microsoft.com/fwlink/?linkid=2132465&form=MT004A&OCID=MT004A","Åwªï¨Ï¥Î Microsoft Edge","1688104101","2","1688104101"
ï»¿"8","https://www.microsoft.com/edge/welcome","Åwªï¨Ï¥Î Microsoft Edge","1688104101","2","1688104101"
ï»¿"9","https://www.microsoft.com/zh-tw/edge/welcome?form=MA13DW&exp=e00","Åwªï¨Ï¥Î Microsoft Edge","1688104101","3","1688104102"
ï»¿"10","https://www.microsoft.com/zh-tw/edge/welcome?form=MA13DW&exp=e00","Åwªï¨Ï¥Î Microsoft Edge","1688104102","3","1688104102"
ï»¿"11","https://www.microsoft.com/zh-tw/edge/welcome?form=MA13DW&exp=e00","Åwªï¨Ï¥Î Microsoft Edge","1688104102","3","1688104102"
ï»¿"12","https://www.bing.com/search?q=google&cvid=db28fdfce95e45c6b06d0f7ebf70f7df&aqs=edge.0.0l9.719j0j4&FORM=ANAB01&PC=U531","bing.com/ck/a?!&&p=e1e5dc4230951c6bJmltdHM9MTY4Nzk5NjgwMCZpZ3VpZD0yMzU0ZWFiNi0zNjYxLTY4NTYtMjAxZi1mOWY2MzI2MTZlNDEmaW5zaWQ9NTE4NA&ptn=3&hsh=3&fclid=2354eab6-3661-6856-201f-f9f632616e41&psq=google&u=a1aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS50dy8&ntb=1","1688104786","2","1688364834"
ï»¿"13","https://www.bing.com/ck/a?!&&p=e1e5dc4230951c6bJmltdHM9MTY4Nzk5NjgwMCZpZ3VpZD0yMzU0ZWFiNi0zNjYxLTY4NTYtMjAxZi1mOWY2MzI2MTZlNDEmaW5zaWQ9NTE4NA&ptn=3&hsh=3&fclid=2354eab6-3661-6856-201f-f9f632616e41&psq=google&u=a1aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS50dy8&ntb=1"," ","1688104788","3","1688105434"
ï»¿"14","https://www.bing.com/search?q=google&cvid=db28fdfce95e45c6b06d0f7ebf70f7df&aqs=edge.0.0l9.719j0j4&FORM=ANAB01&PC=U531","bing.com/ck/a?!&&p=e1e5dc4230951c6bJmltdHM9MTY4Nzk5NjgwMCZpZ3VpZD0yMzU0ZWFiNi0zNjYxLTY4NTYtMjAxZi1mOWY2MzI2MTZlNDEmaW5zaWQ9NTE4NA&ptn=3&hsh=3&fclid=2354eab6-3661-6856-201f-f9f632616e41&psq=google&u=a1aHR0cHM6Ly93d3cuZ29vZ2xlLmNvbS50dy8&ntb=1","1688104788","2","1688364834"
ï»¿"15","https://www.google.com.tw/","Google","1688104788","11","1691646450"
ï»¿"16","https://accounts.google.com/ServiceLogin?hl=zh-TW&passive=true&continue=https://www.google.com.tw/&ec=GAZAmgQ","µn¤J - Google ±b¤á","1688104791","1","1688104791"
ï»¿"17","https://accounts.google.com/InteractiveLogin?continue=https://www.google.com.tw/&ec=GAZAmgQ&hl=zh-TW&passive=true&ifkv=AeDOFXiKf3DqTHt8xzB3Agan4t_ObpGD6BKAUHs4CK8FSQawxyjATGfhx1mI_4vOG-VQF8mNQZlrZg","µn¤J - Google ±b¤á","1688104791","1","1688104791"
ï»¿"18","https://accounts.google.com/v3/signin/identifier?dsh=S721453693%3A1688104790583365&continue=https%3A%2F%2Fwww.google.com.tw%2F&ec=GAZAmgQ&hl=zh-TW&ifkv=AeDOFXjXyi84EGF8qrfpan5z7uxlx3YkgIsufF515E8295cjT4fEbPmBhqVXntscsvS6GFUYJiOSEQ&passive=true&flowName=GlifWebSignIn&flowEntry=ServiceLogin","µn¤J - Google ±b¤á","1688104791","2","1688104792"
ï»¿"19","https://accounts.google.com/v3/signin/identifier?dsh=S721453693%3A1688104790583365&continue=https%3A%2F%2Fwww.google.com.tw%2F&ec=GAZAmgQ&hl=zh-TW&ifkv=AeDOFXjXyi84EGF8qrfpan5z7uxlx3YkgIsufF515E8295cjT4fEbPmBhqVXntscsvS6GFUYJiOSEQ&passive=true&flowName=GlifWebSignIn&flowEntry=ServiceLogin","µn¤J - Google ±b¤á","1688104792","2","1688104792"
ï»¿"20","https://accounts.google.com/v3/signin/challenge/pwd?TL=AJvNCbYUhahGLTfAumnq5c__pnbPHM4Q7-JANoF5imtlskvqps2wHP5osaiVwaS5&checkConnection=youtube%3A109%3A0&checkedDomains=youtube&cid=1&continue=https%3A%2F%2Fwww.google.com.tw%2F&dsh=S721453693%3A1688104790583365&flowEntry=ServiceLogin&flowName=GlifWebSignIn&hl=zh-TW&ifkv=AeDOFXjXyi84EGF8qrfpan5z7uxlx3YkgIsufF515E8295cjT4fEbPmBhqVXntscsvS6GFUYJiOSEQ&pstMsg=1","µn¤J - Google ±b¤á","1688104797","1","1688104797"
ï»¿"21","https://accounts.google.com/CheckCookie?continue=https://www.google.com.tw/&hl=zh-TW&checkedDomains=youtube&checkConnection=youtube:109:0&pstMsg=1&flowName=GlifWebSignIn&ifkv=AeDOFXjXyi84EGF8qrfpan5z7uxlx3YkgIsufF515E8295cjT4fEbPmBhqVXntscsvS6GFUYJiOSEQ&chtml=LoginDoneHtml&gidl=EmoIGhJiQUVqSEw0UFhPNGdyWUlKaEJuSktVZjcxNlZiTFNITHc5NDNlUnhxa21wbUJWSWRFT2dMdHFBMFMzYmZtWU1KNUFrWGljSkhsZGxMRUdfOWNNRk1qbTRxSDN4M2lLWDNkNVEiAhAC&flowEntry=ServiceLogin","Google ±b¤á","1688104806","1","1688104806"
ï»¿"22","https://accounts.google.com/ServiceLogin?continue=https%3A%2F%2Fgds.google.com%2Fweb%2Fchip%3Fep%3Dp%26gdsid%3D-6120821%26authuser%3D0%26hl%3Dzh-TW%26continue%3Dhttps%253A%252F%252Faccounts.google.com%252FServiceLogin%253Fcontinue%253Dhttps%25253A%25252F%25252Fwww.google.com.tw%25252F%2526hl%253Dzh-TW%2526authuser%253D0%2526passive%253Dtrue%2526sarp%253D1%2526aodrpl%253D1%2526checkedDomains%253Dyoutube%2526checkConnection%253Dyoutube%25253A109%25253A0%2526pstMsg%253D1%26rapt%3DAEjHL4PXO4grYIJhBnJKUf716VbLSHLw943eRxqkmpmBVIdEOgLtqA0S3bfmYMJ5AkXicJHldlLEG_9cMFMjm4qH3x3iKX3d5Q&service=accountsettings&hl=zh-TW&authuser=0&passive=true&sarp=1&osid=1","Google ±b¤á","1688104806","1","1688104806"
ï»¿"23","https://myaccount.google.com/accounts/SetOSID?authuser=0&continue=https://gds.google.com/web/chip?ep%3Dp%26gdsid%3D-6120821%26authuser%3D0%26hl%3Dzh-TW%26continue%3Dhttps://accounts.google.com/ServiceLogin?continue%253Dhttps%25253A%25252F%25252Fwww.google.com.tw%25252F%2526hl%253Dzh-TW%2526authuser%253D0%2526passive%253Dtrue%2526sarp%253D1%2526aodrpl%253D1%2526checkedDomains%253Dyoutube%2526checkConnection%253Dyoutube%25253A109%25253A0%2526pstMsg%253D1%26rapt%3DAEjHL4PXO4grYIJhBnJKUf716VbLSHLw943eRxqkmpmBVIdEOgLtqA0S3bfmYMJ5AkXicJHldlLEG_9cMFMjm4qH3x3iKX3d5Q%26pli%3D1&osidt=ALWU2cuCHbgPodMI8cFkgVweRp5fi_V3mLfkt87TzViSOaUErmHXL7cl7OkSyKgh1-DJKO-S98cOwb0kI0-iSgQrpF2JDKZtU7K0AgVGXZZeM22FzyT-R8czrgNV44m1gMQ3fDH1AQiosoKRImu-g6OIjhPy1WZIKfQxQOzjZ-C1XFGphgA9W1bBoutvQ0r2hnSWlVboQjz7j7PkS7pfjlFnp2xET5Ii10Go-uL2j3BIRqRYR3BdOWc&ifkv=AeDOFXiZPltlp9gIiTQtX9HGW_4i4ijfuT1HvN2KVSVD4tTc9RtURDlnS-V7VDrHcvDG_4zrTh2Fzw","Google ±b¤á","1688104806","1","1688104806"
ï»¿"24","https://gds.google.com/web/chip?ep=p&gdsid=-6120821&authuser=0&hl=zh-TW&continue=https://accounts.google.com/ServiceLogin?continue%3Dhttps%253A%252F%252Fwww.google.com.tw%252F%26hl%3Dzh-TW%26authuser%3D0%26passive%3Dtrue%26sarp%3D1%26aodrpl%3D1%26checkedDomains%3Dyoutube%26checkConnection%3Dyoutube%253A109%253A0%26pstMsg%3D1&rapt=AEjHL4PXO4grYIJhBnJKUf716VbLSHLw943eRxqkmpmBVIdEOgLtqA0S3bfmYMJ5AkXicJHldlLEG_9cMFMjm4qH3x3iKX3d5Q&pli=1","Google ±b¤á","1688104806","2","1688104806"
